Account|UID|JobID|JobName|State|Start|End|
rrg-bengioy-ad_gpu|3093349|19090543|train_attn_woself_q81920_cq16384_temp_res_twoside_dim2048_IN_200e_lr048_128gpu_bsz4096.sh|RUNNING|2021-06-08T09:34:51|Unknown|
rrg-bengioy-ad_gpu||19090543.batch|batch|RUNNING|2021-06-08T09:34:51|Unknown|
rrg-bengioy-ad_gpu||19090543.extern|extern|RUNNING|2021-06-08T09:34:51|Unknown|
rrg-bengioy-ad_gpu||19090543.0|bash|COMPLETED|2021-06-08T09:34:54|2021-06-08T09:39:09|
rrg-bengioy-ad_gpu||19090543.1|bash|COMPLETED|2021-06-08T09:39:09|2021-06-08T10:06:33|
rrg-bengioy-ad_gpu||19090543.2|bash|COMPLETED|2021-06-08T10:06:33|2021-06-08T10:09:44|
rrg-bengioy-ad_gpu|3093349|19907147|train_attn_woself_q131072_cq65536_temp_res_twoside_dim2048_IN_200e_lr024_64gpu_bsz2048.sh|PENDING|Unknown|Unknown|
rrg-bengioy-ad_gpu|3078412|20465657_3|f_bpr.sh|RUNNING|2021-06-03T03:54:20|Unknown|
rrg-bengioy-ad_gpu||20465657_3.batch|batch|RUNNING|2021-06-03T03:54:20|Unknown|
rrg-bengioy-ad_gpu||20465657_3.extern|extern|RUNNING|2021-06-03T03:54:20|Unknown|
rrg-bengioy-ad_gpu|3074329|20565008|run.sh|RUNNING|2021-06-06T07:03:38|Unknown|
rrg-bengioy-ad_gpu||20565008.batch|batch|RUNNING|2021-06-06T07:03:38|Unknown|
rrg-bengioy-ad_gpu||20565008.extern|extern|RUNNING|2021-06-06T07:03:38|Unknown|
rrg-bengioy-ad_gpu|3009535|20575533_1|exp_multiview_eye.sh|TIMEOUT|2021-06-05T08:31:28|2021-06-08T08:31:56|
rrg-bengioy-ad_gpu||20575533_1.batch|batch|CANCELLED|2021-06-05T08:31:28|2021-06-08T08:31:59|
rrg-bengioy-ad_gpu||20575533_1.extern|extern|COMPLETED|2021-06-05T08:31:28|2021-06-08T08:31:56|
