Account|UID|JobID|JobName|State|Start|End|
rrg-bengioy-ad_gpu|3093349|1395889|train_attn_woself_q81920_cq16384_temp_res_twoside_dim2048_IN_200e_lr048_64gpu_bsz4096.sh|PENDING|Unknown|Unknown|
rrg-bengioy-ad_gpu|3093349|1697857|train_attn_woself_q81920_cq16384_temp_res_twoside_dim2048_IN_200e_lr048_128gpu_bsz4096.sh|PENDING|Unknown|Unknown|
rrg-bengioy-ad_gpu|3093349|3114204_7|submit_solaris_sweep_thre5e-3_clsag5e-3.sh|COMPLETED|2021-06-07T01:23:17|2021-06-08T00:02:11|
rrg-bengioy-ad_gpu||3114204_7.batch|batch|COMPLETED|2021-06-07T01:23:17|2021-06-08T00:02:11|
rrg-bengioy-ad_gpu||3114204_7.extern|extern|COMPLETED|2021-06-07T01:23:17|2021-06-08T00:02:15|
rrg-bengioy-ad_gpu|3093349|3114204_9|submit_solaris_sweep_thre5e-3_clsag5e-3.sh|COMPLETED|2021-06-07T06:16:43|2021-06-08T04:35:19|
rrg-bengioy-ad_gpu||3114204_9.batch|batch|COMPLETED|2021-06-07T06:16:43|2021-06-08T04:35:19|
rrg-bengioy-ad_gpu||3114204_9.extern|extern|COMPLETED|2021-06-07T06:16:43|2021-06-08T04:35:29|
rrg-bengioy-ad_gpu|3093349|3114214_1|submit_solaris_sweep_thre5e-3_clsag5e-4.sh|COMPLETED|2021-06-07T06:16:43|2021-06-08T01:31:21|
rrg-bengioy-ad_gpu||3114214_1.batch|batch|COMPLETED|2021-06-07T06:16:43|2021-06-08T01:31:21|
rrg-bengioy-ad_gpu||3114214_1.extern|extern|COMPLETED|2021-06-07T06:16:43|2021-06-08T01:31:33|
rrg-bengioy-ad_gpu|3093349|3114214_5|submit_solaris_sweep_thre5e-3_clsag5e-4.sh|COMPLETED|2021-06-07T06:16:43|2021-06-08T00:08:41|
rrg-bengioy-ad_gpu||3114214_5.batch|batch|COMPLETED|2021-06-07T06:16:43|2021-06-08T00:08:41|
rrg-bengioy-ad_gpu||3114214_5.extern|extern|COMPLETED|2021-06-07T06:16:43|2021-06-08T00:08:48|
